Number,Dutch,English,Occurence_Probability
1,als,as,100
2,I,I,100
3,zijn,his,100
4,dat,that,100
5,hij,he,100
6,was,was,100
7,voor,for,100
8,op,on,100
9,zijn,are,100
10,met,with,100
11,ze,they,100
12,zijn,be,100
13,bij,at,100
14,een,one,100
15,hebben,have,100
16,deze,this,100
17,van,from,100
18,door,by,100
19,heet,hot,100
20,woord,word,100
21,maar,but,100
22,wat,what,100
23,sommige,some,100
24,is,is,100
25,het,it,100
26,u,you,100
27,of,or,100
28,had,had,100
29,de,the,100
30,van,of,100
31,aan,to,100
32,en,and,100
33,een,a,100
34,in,in,100
35,we,we,100
36,kan,can,100
37,uit,out,100
38,andere,other,100
39,waren,were,100
40,die,which,100
41,doen,do,100
42,hun,their,100
43,tijd,time,100
44,indien,if,100
45,zal,will,100
46,hoe,how,100
47,zei,said,100
48,een,an,100
49,elk,each,100
50,vertellen,tell,100
51,doet,does,100
52,set,set,100
53,drie,three,100
54,willen,want,100
55,lucht,air,100
56,goed,well,100
57,ook,also,100
58,spelen,play,100
59,klein,small,100
60,end,end,100
61,zetten,put,100
62,thuis,home,100
63,lezen,read,100
64,de hand,hand,100
65,poort,port,100
66,grote,large,100
67,spell,spell,100
68,toevoegen,add,100
69,zelfs,even,100
70,land,land,100
71,hier,here,100
72,moet,must,100
73,grote,big,100
74,hoog,high,100
75,dergelijke,such,100
76,volgen,follow,100
77,act,act,100
78,waarom,why,100
79,vragen,ask,100
80,mannen,men,100
81,verandering,change,100
82,ging,went,100
83,licht,light,100
84,soort,kind,100
85,uitgeschakeld,off,100
86,nodig hebben,need,100
87,huis,house,100
88,afbeelding,picture,100
89,proberen,try,100
90,ons,us,100
91,weer,again,100
92,dier,animal,100
93,punt,point,100
94,moeder,mother,100
95,wereld,world,100
96,dichtbij,near,100
97,bouwen,build,100
98,zelf,self,100
99,aarde,earth,100
100,vader,father,100
101,een,any,100
102,nieuwe,new,100
103,werk,work,100
104,deel,part,100
105,nemen,take,100
106,krijgen,get,100
107,plaats,place,100
108,gemaakt,made,100
109,wonen,live,100
110,waar,where,100
111,na,after,100
112,terug,back,100
113,weinig,little,100
114,alleen,only,100
115,ronde,round,100
116,man,man,100
117,jaar,year,100
118,kwam,came,100
119,Show,show,100
120,elke,every,100
121,goed,good,100
122,mij,me,100
123,geven,give,100
124,onze,our,100
125,onder,under,100
126,naam,name,100
127,zeer,very,100
128,door,through,100
129,gewoon,just,100
130,vorm,form,100
131,zin,sentence,100
132,grote,great,100
133,denken,think,100
134,zeggen,say,100
135,helpen,help,100
136,laag,low,100
137,lijn,line,100
138,verschillen,differ,100
139,beurt,turn,100
140,oorzaak,cause,100
141,veel,much,100
142,betekenen,mean,100
143,voor,before,100
144,verhuizing,move,100
145,rechts,right,100
146,jongen,boy,100
147,oude,old,100
148,ook,too,100
149,hetzelfde,same,100
150,ze,she,100
151,alle,all,100
152,er,there,100
153,wanneer,when,100
154,omhoog,up,100
155,gebruiken,use,100
156,uw,your,100
157,manier,way,100
158,over,about,100
159,veel,many,100
160,dan,then,100
161,hen,them,100
162,schrijven,write,100
163,zou,would,100
164,zoals,like,100
165,dus,so,100
166,deze,these,100
167,haar,her,100
168,lang,long,100
169,maken,make,100
170,ding,thing,100
171,zien,see,100
172,hem,him,100
173,twee,two,100
174,heeft,has,100
175,kijken,look,100
176,meer,more,100
177,dag,day,100
178,kon,could,100
179,gaan,go,100
180,komen,come,100
181,deed,did,100
182,aantal,number,100
183,klinken,sound,100
184,geen,no,100
185,meest,most,100
186,mensen,people,100
187,mijn,my,100
188,meer dan,over,100
189,weten,know,100
190,water,water,100
191,dan,than,100
192,roep,call,100
193,eerste,first,100
194,die,who,100
195,kan,may,100
196,naar beneden,down,100
197,kant,side,100
198,geweest,been,100
199,nu,now,100
200,vinden,find,100
